Name,Area km2,27-03-11,30-06-17
Bath and North East Somerset,346,176016,188678
Bedford,476,157479,169912
Blackburn with Darwen,137,147489,148772
Blackpool,35,142065,139870
Bournemouth,46,183491,194752
Bracknell Forest,109,113205,120377
Brighton and Hove,83,273369,288155
Bristol (City of Bristol),110,428234,459252
Buckinghamshire,1565,505283,535918
Cambridgeshire,3046,621210,648237
Central Bedfordshire,716,254381,280030
Cheshire East,1166,370127,378846
Cheshire West and Chester,917,329608,337986
Cornwall,3546,532273,561349
Cumbria,6768,499858,498375
Darlington,197,105564,106347
Derby,78,248752,257034
Derbyshire,2547,769686,791966
Devon,6564,746399,787171
Dorset,2542,412905,424667
Durham (County Durham),2226,513242,523662
East Riding of Yorkshire,2408,334179,338061
East Sussex,1709,526671,552259
Essex,3465,1393587,1468177
Gloucestershire,2653,596984,628139
Greater London,1572,8173941,8825001
Greater Manchester,1276,2682528,2798799
Halton,79,125746,127595
Hampshire,3679,1317788,1370728
Hartlepool,94,92028,93019
Herefordshire (County of Herefordshire),2180,183477,191041
Hertfordshire,1643,1116062,1180934
Isle of Wight,380,138265,140984
Isles of Scilly,16,2203,2259
Kent,3544,1463740,1554636
Kingston upon Hull (City of Kingston upon Hull),71,256406,260673
Lancashire,2903,1171339,1201855
Leicester,73,329839,353540
Leicestershire,2083,650489,690212
Lincolnshire,5921,713653,751171
Luton,43,203201,214658
Medway (Gillingham and Rochester),192,263925,277616
Merseyside,645,1381189,1416825
Middlesbrough,54,138412,140639
Milton Keynes,309,248821,267521
Norfolk,5371,857888,898390
Northamptonshire,2364,691952,741209
North East Lincolnshire,192,159616,159826
North Lincolnshire,846,167446,171294
North Somerset,374,202566,212834
Northumberland,5013,316028,319030
North Yorkshire,8038,598376,611633
Nottingham,75,305680,329209
Nottinghamshire,2085,785802,817851
Oxfordshire,2605,653798,682444
Peterborough,343,183631,198914
Plymouth,80,256384,263070
Poole,65,147645,151270
Portsmouth,40,205056,214718
Reading,40,155698,163075
Redcar and Cleveland,245,135177,136005
Rutland,382,37369,39474
Shropshire,3197,306129,317459
Slough,33,140205,148768
Somerset,3451,529972,555195
Southampton,50,236882,252359
Southend-on-Sea,42,173658,181808
South Gloucestershire,497,262767,279027
South Yorkshire,1552,1343601,1393445
Staffordshire,2620,848489,870825
Stockton-on-Tees,204,191610,196487
Stoke-on-Trent,93,249008,255378
Suffolk,3801,728163,756978
Surrey,1663,1132390,1185321
Swindon,230,209156,220363
Telford and Wrekin,290,166641,175768
Thurrock,163,157705,170394
Torbay,63,130959,135247
Tyne and Wear,540,1104825,1129538
Warrington,181,202228,209704
Warwickshire,1975,545474,564562
West Berkshire (Newbury),704,153822,158473
West Midlands,902,2736460,2897303
West Sussex,1991,806892,852353
West Yorkshire,2029,2226058,2307035
Wiltshire,3255,470981,496043
Windsor and Maidenhead,197,144560,150140
Wokingham,179,154380,164980
Worcestershire,1741,566169,588370
York,272,198051,208163
